id;numero_linha;status;data_ativacao;plano;operadora
1;green Health;sensor Grocery;2021-11-24;Response transmitter;Tuna proactive
2;GB Credit;Iowa;2021-11-24;Industrial;granular Kids Metal
3;iterate enable Director;Dollar Bedfordshire discrete;2021-11-23;Franc;Inverse
4;Division;utilisation and;2021-11-24;neural user-centric virtual;Borders Wyoming
5;matrix;array bricks-and-clicks;2021-11-23;Pre-emptive;Dynamic
6;parsing synthesizing;Granite Shoes;2021-11-23;El French Global;West
7;Fundamental Kentucky;state paradigm;2021-11-23;Producer Corporate;strategize
8;Tasty bluetooth;SCSI;2021-11-24;invoice e-services generation;back-end
9;azure;compress forecast;2021-11-23;azure Product dedicated;evolve Assistant Administrator
10;Gorgeous;niches;2021-11-24;Massachusetts;budgetary approach deposit
