id;cnpj;razao_social;nome_fantasia;telefone_1;telefone_2;telefone_3;telefone_4;telefone_5;telefone_6;telefone_7;telefone_8;email_1;email_2;email_3;email_4;email_5;email_6;quantidade_funcionarios;quantidade_linhas_movel;quantidade_linhas_fixa;nome_contato_principal;telefone_1_contato_principal;telefone_2_contato_principal;email_contato_principal;observacao;cep;logradouro;bairro;numero;cidade;uf;created_by;created_date;last_modified_by;last_modified_date
1;Card;transform;generating enterprise Surinam;Green virtual;capability Quality Up-sized;Home;Fantastic Central Usability;initiatives transmitter synthesize;digital;Cheese;driver;Ringgit payment blue;tan Central indexing;navigate transitional;Intelligent Cambridgeshire background;invoice;orange East;73763;61795;56091;facilitate Ball;calculating online;Chicken;Cambridgeshire deposit payment;Car Account;bandwidth;synergize framework;Investment Tuna Orchestrator;Director;Jewelery Garden payment;Table Salad Loan;Engineer Security Wooden;2021-11-23T21:01:03;Extensions Cotton Electronics;2021-11-23T15:46:55
2;Alabama;Lodge;Cambridgeshire;Account Avon;optical Somali;invoice withdrawal Cambridgeshire;1080p;Agent Trinidad;Account Cambridgeshire 24/7;interface Small next-generation;bus;Intranet;Internal;Legacy;port Berkshire;Hat Up-sized Intelligent;Meadow Health;25882;80159;19823;Granite Grocery vertical;AGP Tasty;Rubber Developer Response;seize;up;success front-end IB;withdrawal yellow compress;&;regional;array Automotive;generation;application Table interface;2021-11-24T04:50:37;calculate world-class Lead;2021-11-24T08:28:15
3;Groves motivating Indiana;Burundi calculating initiatives;Mills PNG;Garden Uruguayo Developer;turquoise deposit bypassing;Books;zero Facilitator;mobile Intelligent;Configuration;Sao Stravenue;Rustic copy program;firewall;Paradigm Mouse Orchestrator;deposit;pink;Buckinghamshire;Account Keyboard;82964;20427;62782;Cotton Automotive;Landing;Rubber 1080p up;parse orange;ROI;copying brand Alabama;Soft markets;ADP;rich e-markets Steel;Illinois responsive Tuna;EXE;benchmark;2021-11-24T09:05:48;quantify;2021-11-24T09:26:40
4;synthesizing;Soft Steel salmon;IB;azure envisioneer;payment payment green;Toys Licensed Licensed;Robust solid Berkshire;Loaf;front-end;policy;EXE;monitor haptic;multi-tasking navigate Synchronised;withdrawal Manager;Saint;Chief indigo;Salad Research gold;81461;13599;88019;Pants Books clear-thinking;Ohio;invoice Republic Games;synthesizing Home attitude;withdrawal bypassing reintermediate;payment Assistant;Tennessee Jewelery;parse deliver;Ohio Enhanced Equatorial;reboot Real;Parks maroon payment;Parkway SCSI Village;2021-11-23T20:49:19;optical Gloves;2021-11-24T11:27:27
5;transmitter Account;Refined Music;Solutions Alabama payment;Industrial alarm ivory;Tools back-end withdrawal;Nebraska;Fresh;virtual Kiribati;Buckinghamshire Rubber Tasty;Research Representative;human-resource magenta Automotive;Comoro Books Usability;Liaison;Producer;benchmark Chief;Soft;JBOD parallelism;62839;30682;86444;Sleek;Garden;Avon;Investment;Ridges;Berkshire Franc JSON;Ergonomic Table Republic;Maryland calculating;customer compress Maryland;USB;Security;Balanced granular;2021-11-24T11:27:50;solid Down-sized Minnesota;2021-11-23T16:29:27
6;Programmable withdrawal generate;Libyan;Sri;Horizontal;application JBOD;payment Borders Sausages;calculate;Expanded Tools;Croatia;blue fault-tolerant service-desk;compress Cambridgeshire;metrics;panel product;green bypassing Specialist;primary;Romania parsing;Soap;79339;26811;80654;Gloves virtual;olive plug-and-play virtual;vertical Bolivia;Web Motorway group;Business-focused Intelligent orchid;SQL Assurance client-server;Executive niches;copy Cambridgeshire;Pennsylvania;transmitter Computer Republic;Manager FTP;lavender leading-edge EXE;2021-11-23T19:42:42;B2B utilisation Grass-roots;2021-11-23T19:10:34
7;program monitor Minnesota;Sleek;Bike;Movies productize;transmit cross-platform Bedfordshire;Credit Wooden;Health harness B2C;Representative;lime;Reactive logistical Product;Helena visionary;Cambridgeshire Program reciprocal;maroon synthesizing;Borders vertical;multi-state orange Minnesota;online AI;niches state SDD;5178;1334;29145;action-items;Metal;Managed;Benin parsing;haptic bypassing Intelligent;Movies capacitor PNG;Jewelery Practical Mouse;Dong Account West;redundant auxiliary online;Ergonomic Account Street;Marketing Sausages;Fiji mobile Helena;2021-11-24T08:15:36;Rustic matrix;2021-11-23T15:32:45
8;open-source;synthesize;Chilean Pants Junctions;Montana withdrawal transmitting;directional;mobile COM Shoes;cross-platform invoice invoice;throughput;Mouse infomediaries;Factors;Cotton web-enabled;Sausages;bottom-line cohesive Towels;deposit Mexico;Account Tuna;motivating Quality;Bedfordshire transmitter;72665;81808;62780;Customer EXE;website;Concrete Berkshire;Texas;Garden;invoice;Director card Facilitator;Supervisor Algeria SCSI;Technician incremental Maine;Customer Open-source;Won COM;withdrawal synthesizing Dynamic;2021-11-23T18:48:57;local;2021-11-24T09:15:27
9;initiatives;concept;dynamic;support;Fantastic Barbados;connect background;Pants Global Shoes;orchestrate haptic;card withdrawal;Up-sized back compressing;relationships viral;Interface;Ergonomic Tennessee;Franc SMS Yuan;Baby deploy;Shoes deposit;Timor-Leste value-added Wooden;53465;51919;1467;Chilean methodologies;alliance Ball;driver;RAM;streamline;Card content-based info-mediaries;Nevada program Cotton;Borders;white Plastic Polarised;haptic;Minnesota;THX quantifying;2021-11-23T14:52:20;Account Car relationships;2021-11-23T19:42:48
10;technologies panel GB;engine;Engineer Guilder Rubber;withdrawal;Micronesia;reboot Refined Automated;Regional;Applications Frozen;Kentucky;Louisiana Chips relationships;Infrastructure Swedish Unbranded;Data;1080p Democratic connect;lavender Pennsylvania Ball;black bandwidth-monitored programming;virtual Health;methodologies olive;8447;3933;19546;XML Chicken;Dalasi monitor circuit;Algerian;compress Practical morph;Division;payment visualize Loan;Industrial Dale;Account;Shoes Quality Graphic;index online Sleek;Programmable redefine;Sausages Specialist Dollar;2021-11-23T20:50:47;yellow Bypass Accountability;2021-11-24T05:41:39
